,drug_variation_id,medlife_product_id,fc_id,distributor_id,distributor_name,bill_number,bill_date,transcription_completed_ts,packing_quantity,mrp,formatted_name,drug_name,purchase_margin_percent,purchase_price,loose_quantity,purchase_mrp_value,lookup_index,loose_quantity_ordered,analysis
36,65905,JANUMTN03A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194866,2021-01-15,2021-01-15,15,25.3333,Janumet 50/500mg (strip of 15 tablets),Janumet,23.9996,18.09533,270,6839.991,1_65905_MAHAVEER MEDI-SALES PVT. LTD.,270.0,Equal
37,13021,DUPHATN01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194751,2021-01-15,2021-01-15,10.0,67.251,Duphaston 10 mg (strip of 10 tablets),Duphaston,24.0007,48.036,100,6725.1,1_13021_MAHAVEER MEDI-SALES PVT. LTD.,100.0,Equal
38,116907,VYMADTS01A,7,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181407,2021-01-12,2021-01-12,14,78.6071,Vymada 50 mg (strip of 14 tablets),Vymada,24.0001,56.14786,84,6602.9964,7_116907_MAHAVEER MEDI-SALES PVT. LTD.,84.0,Equal
39,147706,GALVUTS08A,1,856885,MEHUL AGENCIES, D31156,2021-01-15,2021-01-15,15,19.9333,Galvus 50mg (strip of 15 tablets),Galvus,24.0005,14.238,315,6278.9895,1_147706_MEHUL AGENCIES,315.0,Equal
40,70289,RANOZTN01A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215376,2021-01-12,2021-01-12,10,14.0,Ranozex 500 mg (strip of 10 tablets),Ranozex,23.2,10.0,440,6160.0,1_70289_VARDHAMAN PHARMA Distributors Private Limited,480.0,Shortage
41,184929,REMOZTS03A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194806,2021-01-15,2021-01-15,15,13.1,Remo Zen (strip of 15 tablets),Remo Zen,23.9985,9.35733,465,6091.5,1_184929_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
42,184929,REMOZTS03A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181376,2021-01-12,2021-01-13,15,13.1,Remo Zen (strip of 15 tablets),Remo Zen,23.9985,9.35733,465,6091.5,1_184929_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
43,151177,BASAGIV01A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181262,2021-01-12,2021-01-12,1,605.0,Basaglar Catridge 100IU injection,Basaglar Catridge,17.68,484.0,10,6050.0,6_151177_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
44,148843,ATORVTS13A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217466,2021-01-15,2021-01-15,15,14.834,Atorva 20mg (strip of 15 tablets),Atorva,23.1979,10.596,405,6007.77,1_148843_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
45,177106,TELMATS41A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181558,2021-01-12,2021-01-12,30,14.3,Telma Am 40 MG (strip of 30 tablets),Telma Am,23.9996,10.21433,420,6006.0,6_177106_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
46,75270,TRIVOTS02A,6,856885,MEHUL AGENCIES, D31154,2021-01-15,2021-01-15,10.0,19.9,Trivolib 2 mg (strip of 10 tablets),Trivolib,24.0015,14.214,300,5970.0,6_75270_MEHUL AGENCIES,300.0,Equal
47,104931,AZMARTS01A,1,856885,MEHUL AGENCIES, D30750,2021-01-12,2021-01-12,14,83.5036,Azmarda 100 mg (strip of 14 tablets),Azmarda,23.9987,59.64643,70,5845.252,1_104931_MEHUL AGENCIES,70.0,Equal
48,184281,TRIPLTS05A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194866,2021-01-15,2021-01-15,15,6.9333,Tripleacal (strip of 15 tablets),Tripleacal,23.9956,4.95267,810,5615.973,1_184281_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
49,65905,JANUMTN03A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215386,2021-01-12,2021-01-12,15,25.3333,Janumet 50/500mg (strip of 15 tablets),Janumet,23.1996,18.09533,210,5319.993,1_65905_VARDHAMAN PHARMA Distributors Private Limited,210.0,Equal
50,65887,ISTAMTN03A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215374,2021-01-12,2021-01-12,15,25.3,Istamet 50/500mg (strip of 15 tablets),Istamet,23.2004,18.07133,210,5313.0,1_65887_VARDHAMAN PHARMA Distributors Private Limited,450.0,Shortage
51,67199,HUMINCN01A,7,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193543,2021-01-15,2021-01-15,1,354.0,Huminsulin 30/70 - 100 iu (cartridge of 1 cartridge),Huminsulin,17.68,283.2,15,5310.0,7_67199_MAHAVEER MEDI-SALES PVT. LTD.,3.0,Excess
52,67199,HUMINCN01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193544,2021-01-15,2021-01-15,1,354.0,Huminsulin 30/70 - 100 iu (cartridge of 1 cartridge),Huminsulin,17.68,283.2,15,5310.0,1_67199_MAHAVEER MEDI-SALES PVT. LTD.,3.0,Excess
53,3301,GLUCOTN05A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215340,2021-01-12,2021-01-12,10,14.6,Glucobay 50 mg (strip of 10 tablets),Glucobay,23.1968,10.429,360,5256.0,1_3301_VARDHAMAN PHARMA Distributors Private Limited,360.0,Equal
54,47348,GLYCOTN15A,6,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215391,2021-01-12,2021-01-12,15,10.3667,Glycomet GP 2 mg (strip of 15 tablets),Glycomet GP,23.201,7.40467,495,5131.5165,6_47348_VARDHAMAN PHARMA Distributors Private Limited,45.0,Excess
55,177508,RYZODIP01A,6,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217263,2021-01-15,2021-01-15,5,1024.0,Ryzodeg 100 IU/ 3 ML injection (pack of 5),Ryzodeg,16.0,819.2,5,5120.0,6_177508_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
56,147139,GALVUTS06A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194806,2021-01-15,2021-01-15,15,21.2,Galvus Met 50 mg /1000 mg (strip of 15 tablets),Galvus Met,24.001,15.14267,240,5088.0,1_147139_MAHAVEER MEDI-SALES PVT. LTD.,240.0,Equal
57,60391,ECOSPTN15A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194746,2021-01-15,2021-01-15,15,8.8727,Ecosprin Gold 20 mg (strip of 15 capsules),Ecosprin Gold,17.6779,6.65467,570,5057.439,1_60391_MAHAVEER MEDI-SALES PVT. LTD.,570.0,Equal
58,88184,MIXTAIN01A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215324,2021-01-12,2021-01-12,1,157.57,Human Mixtard 30 70 - 40 IU injection,Human Mixtard,19.3574,126.06,32,5042.24,1_88184_VARDHAMAN PHARMA Distributors Private Limited,32.0,Equal
59,185841,,7,125101,M Ratan Agencies, S 6664,2021-01-13,2021-01-13,100,12.5,Medi Care Latex Gloves Large (pack of 100),Medi Care Latex Gloves Large,46.24,6.0,400,5000.0,7_185841_M Ratan Agencies,0.0,Not ordered
60,91375,PANZZTN02A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215334,2021-01-12,2021-01-12,15,9.2,Pan 40 mg (strip of 15 tablets),Pan,23.2011,6.57133,540,4968.0,1_91375_VARDHAMAN PHARMA Distributors Private Limited,540.0,Equal
61,84339,TELMATN08A,7,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217309,2021-01-15,2021-01-15,15,15.6333,Telma Am 40 mg (strip of 15 tablets),Telma Am,23.2,11.16667,315,4924.4895,7_84339_VARDHAMAN PHARMA Distributors Private Limited,30.0,Excess
62,89791,INVOKTN01A,7,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181393,2021-01-12,2021-01-12,10,54.5,Invokana 100 mg (strip of 10 tablets),Invokana,17.6813,40.87433,90,4905.0,7_89791_MAHAVEER MEDI-SALES PVT. LTD.,30.0,Excess
63,82748,GLYCOTN13A,6,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215391,2021-01-12,2021-01-12,15,7.0667,Glycomet GP 1 mg (strip of 15 tablets),Glycomet GP,23.2043,5.04733,690,4876.023,6_82748_VARDHAMAN PHARMA Distributors Private Limited,60.0,Excess
64,77450,SHELCTN02A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194866,2021-01-15,2021-01-15,15,6.5933,Shelcal 500 mg (strip of 15 tablets),Shelcal,24.0031,4.70933,735,4846.0755,1_77450_MAHAVEER MEDI-SALES PVT. LTD.,735.0,Equal
65,69741,MIXTACN01A,7,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181319,2021-01-12,2021-01-12,1,319.0,Human Mixtard HM 30 70 - 3ml (1 cartridge),Human Mixtard HM,17.68,255.2,15,4785.0,7_69741_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
66,69741,MIXTACN01A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181262,2021-01-12,2021-01-12,1,319.0,Human Mixtard HM 30 70 - 3ml (1 cartridge),Human Mixtard HM,17.68,255.2,15,4785.0,6_69741_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
67,43992,LOSARTN15A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194746,2021-01-15,2021-01-15,15,12.75,Losar H 50 mg (strip of 15 tablets),Losar H,23.9984,9.10733,375,4781.25,1_43992_MAHAVEER MEDI-SALES PVT. LTD.,375.0,Equal
68,93861,QILIBLB01A,7,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217309,2021-01-15,2021-01-15,1,1565.0,Qilib Rebalance Hair Fall Cycle Women 80 ml (box of 1 lotion),Qilib Rebalance Hair Fall Cycle Women,23.1998,1061.02,3,4695.0,7_93861_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
69,131130,MELBISB03A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194762,2021-01-15,2021-01-15,1,1427.0,Melbid XL 10 ml solution,Melbid XL,23.9997,1114.29,3,4680.0,1_131130_MAHAVEER MEDI-SALES PVT. LTD.,3.0,Equal
70,148843,ATORVTS13A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215393,2021-01-12,2021-01-12,15,14.834,Atorva 20mg (strip of 15 tablets),Atorva,23.1979,10.596,315,4672.71,1_148843_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
71,187047,AMARYTS22A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181421,2021-01-12,2021-01-12,20,16.516,Amaryl M 2 MG / 500 MG (strip of 20 tablets),Amaryl M,24.0009,11.797,280,4624.48,6_187047_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
72,15098,DIAMITN03A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215361,2021-01-12,2021-01-12,14.0,13.5,Diamicron Xr 60 mg (strip of 14 tablets),Diamicron Xr,23.2,9.64286,336,4536.0,1_15098_VARDHAMAN PHARMA Distributors Private Limited,336.0,Equal
73,92348,REDENLB01A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193557,2021-01-15,2021-01-15,1,1467.0,Redenser Serum 60 ml scalp solution,Redenser Serum,23.9997,994.58,3,4401.0,6_92348_MAHAVEER MEDI-SALES PVT. LTD.,1.0,Excess
74,46767,ICANPDD01A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215345,2021-01-12,2021-01-12,1,55.0,I Can pregnancy test,I Can pregnancy test,74.3972,39.29,78,4290.0,1_46767_VARDHAMAN PHARMA Distributors Private Limited,26.0,Excess
75,78675,TUFPRSB01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181376,2021-01-12,2021-01-13,1,38.75,Tufpro 5 ml (box of 1 suspension),Tufpro,31.294,27.67,110,4262.5,1_78675_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
76,16654,GEMERTN02A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215378,2021-01-12,2021-01-12,10,12.1,Gemer 2 mg (strip of 10 tablets),Gemer,23.1987,8.643,350,4235.0,1_16654_VARDHAMAN PHARMA Distributors Private Limited,350.0,Equal
77,164540,JALRATN03A,6,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217444,2021-01-15,2021-01-15,28,21.4286,Jalra 50 mg (box of 28 tablets),Jalra,23.2003,15.30607,196,4200.0056,6_164540_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
78,164540,JALRATN03A,7,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215273,2021-01-12,2021-01-12,28,21.4286,Jalra 50 mg (box of 28 tablets),Jalra,23.2003,15.30607,196,4200.0056,7_164540_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
79,164540,JALRATN03A,7,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217354,2021-01-15,2021-01-15,28,21.4286,Jalra 50 mg (box of 28 tablets),Jalra,23.2003,15.30607,196,4200.0056,7_164540_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
80,62138,BETADSN16A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181384,2021-01-12,2021-01-13,1,210.0,Betadine Gargle Mint 100 ml solution,Betadine Gargle Mint,24.0,150.0,20,4200.0,1_62138_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
81,9148,ROSUVTN04A,1,856885,MEHUL AGENCIES, D30745,2021-01-12,2021-01-12,10,52.0,Rosuvas 40 mg (strip of 10 tablets),Rosuvas,23.9997,37.143,80,4160.0,1_9148_MEHUL AGENCIES,80.0,Equal
82,45689,MONTETN13A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215374,2021-01-12,2021-01-12,10,17.95,Montek LC (strip of 10 tablets),Montek LC,23.2026,12.821,230,4128.5,1_45689_VARDHAMAN PHARMA Distributors Private Limited,230.0,Equal
83,63779,DRISECN02A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194746,2021-01-15,2021-01-15,4,32.9725,D Rise 60k (strip of 4 capsules),D Rise,23.9977,23.5525,124,4088.59,1_63779_MAHAVEER MEDI-SALES PVT. LTD.,124.0,Equal
84,92011,XARELTS05A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215340,2021-01-12,2021-01-12,14,145.0,Xarelto 20 mg (strip of 14 tablets),Xarelto,23.2,103.57143,28,4060.0,1_92011_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
85,92011,XARELTS05A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194816,2021-01-15,2021-01-15,14,145.0,Xarelto 20 mg (strip of 14 tablets),Xarelto,24.0,103.57143,28,4060.0,1_92011_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
86,91375,PANZZTN02A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194806,2021-01-15,2021-01-15,15,9.2,Pan 40 mg (strip of 15 tablets),Pan,24.0011,6.57133,435,4002.0,1_91375_MAHAVEER MEDI-SALES PVT. LTD.,435.0,Equal
87,127574,PDKARGP01A,6,3072267,PADMAVATI ENTERPRISES,370,2021-01-12,2021-01-12,100,10.0,Examination Gloves Medium (pack of 100),Examination Gloves Medium,45.12,4.9,400,4000.0,6_127574_PADMAVATI ENTERPRISES,0.0,Not ordered
88,165583,TENIVTS08A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181376,2021-01-12,2021-01-13,20,12.4,Teniva 20mg (strip of 20 tablets),Teniva,24.0012,8.857,320,3968.0,1_165583_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
89,16482,EVIONCN05A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194746,2021-01-15,2021-01-15,10,2.973,Evion (Vitamin E) 400 mg (strip of 10 capsules),Evion (Vitamin E),24.0026,2.1235,1320,3924.36,1_16482_MAHAVEER MEDI-SALES PVT. LTD.,660.0,Excess
90,46842,KERAXSN01A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217451,2021-01-15,2021-01-15,1,1290.0,Kera Xl Hair Growth Serum 60ml,Kera Xl Hair Growth Serum,23.1997,874.58,3,3870.0,1_46842_VARDHAMAN PHARMA Distributors Private Limited,0.0,Not ordered
91,165169,METFFTS03A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181376,2021-01-12,2021-01-13,15,11.0,Metffil Vg 2MG (strip of 15 tablets),Metffil Vg,30.607,7.85733,345,3795.0,1_165169_MAHAVEER MEDI-SALES PVT. LTD.,0.0,Not ordered
