formatted_name,name,packing_quantity,loose_quantity,fc_id,uuid,distributor_name,order_id,distributor_id,drug_variation_id,medlife_product_id,order_date,mrp,product_code
Concor 10 mg (strip of 10 tablets),Concor,10,30,1,ee9dc6c93cb340138ef9da65785a378f,MEHUL AGENCIES,162182,856885,29608,CONCOTN02A,2021-01-12 11:28:18+00,14.8260,103061
KZ 30 gm cream,KZ,1,1,1,8fb7a3a228eb473584a1a56c89f41d66,MEHUL AGENCIES,162182,856885,29834,KZHEGCN01A,2021-01-12 11:28:18+00,209.0000,144157
Arcolane Scalp Solution 2% 60 ml solution,Arcolane Scalp Solution,1,3,1,251adf573975495394b85ca0c2d4b0c1,MEHUL AGENCIES,162182,856885,29993,ARCOLSN01A,2021-01-12 11:28:18+00,344.0000,136101
KZ 75 gm (packet of 1 soap),KZ,1,2,1,e5cb82170fd0423d95c67033f4dd10fc,MEHUL AGENCIES,162182,856885,30214,KZHEGSN01A,2021-01-12 11:28:18+00,179.0000,144165
Betnovate 20 gm cream,Betnovate ,1,14,1,5f8dc18e7a3848e5bff977b0fc101155,MEHUL AGENCIES,162182,856885,30351,BETNOCN01A,2021-01-12 11:28:18+00,18.6900,139123
Neugaba 75 mg (strip of 10 capsules),Neugaba,10.0,40,1,ec20ce2ffde34c16a320de8010932cd0,MEHUL AGENCIES,162182,856885,30466,NEUGACN02A,2021-01-12 11:28:18+00,15.0000,NEUGABA 75 TAB
Genteal 10 ml (box of 1 eye drops),Genteal,1,4,1,891cbdc4300148998fb82cd039cd4022,MEHUL AGENCIES,162182,856885,30535,GENTEEN01A,2021-01-12 11:28:18+00,182.0000,118059
Zy Q 200 mg (strip of 30 tablets),Zy Q,30,30,1,085857f0307e4f80affdd16e92069d08,MEHUL AGENCIES,162182,856885,30736,ZYQZZTN03A,2021-01-12 11:28:18+00,5.5957,106411
Banocide Forte 100 mg (strip of 30 tablets),Banocide Forte,30,30,1,4e067dc68b0048839d246435d8a2496d,MEHUL AGENCIES,162182,856885,30974,BENOCTN01A,2021-01-12 11:28:18+00,1.4463,139114
K Bind 15 gm (box of 1 sachet),K Bind,1,10,1,1515d0f8ca3b41dda8d99db4cf63f9c8,MEHUL AGENCIES,162182,856885,31749,KBINDPN01A,2021-01-12 11:28:18+00,145.0000,101839
Etoshine 120 mg (strip of 10 tablets),Etoshine,10,10,1,641cf9db15fe4160aaff0179265d6883,MEHUL AGENCIES,162182,856885,32264,ETOSHTN01A,2021-01-12 11:28:18+00,17.5000,143132
Amlokind 5 mg (strip of 10 tablets),Amlokind,10,110,1,9a7c0c7c438d41c3876824896d5d5004,MEHUL AGENCIES,162182,856885,32878,AMLOKTN11A,2021-01-12 11:28:18+00,1.3270,116102
Faronem 200 mg (strip of 6 tablets),Faronem,6,24,1,10d5fabb6ee9460a80866a53b39a58a3,MEHUL AGENCIES,162182,856885,33558,FARONTN04A,2021-01-12 11:28:18+00,86.1667,Mar 18th Ord 370
Fabulas 40 mg (strip of 10 tablets),Fabulas,10,10,1,1afd1c64313e4a94b04965840efa03d6,MEHUL AGENCIES,162182,856885,33603,FABULTN02A,2021-01-12 11:28:18+00,12.7000,122821
Cardivas Cr 10 mg (strip of 10 tablets),Cardivas Cr,10,20,1,20e820949d5c4c6c82a856a6b24f37a7,MEHUL AGENCIES,162182,856885,35032,CARDITN56A,2021-01-12 11:28:18+00,9.0000,143178
Lorvas 2.5 mg (strip of 10 tablets),Lorvas,10.0,10,1,14b2d8a1c5ed4fd4988e4a179d4c77ad,MEHUL AGENCIES,162182,856885,37271,LORVATN03A,2021-01-12 11:28:18+00,10.7100,119560
Olmin 40 mg (strip of 10 tablets),Olmin,10,10,1,d559aeab6ed84ef48b7c59654a2c74df,MEHUL AGENCIES,162182,856885,37689,OLMINTN03A,2021-01-12 11:28:18+00,16.1050,117174
Olmezest 40 mg (strip of 10 tablets),Olmezest,10,130,1,7608c3e557f7421db8a7785809ffb7f9,MEHUL AGENCIES,162182,856885,37714,OLMEZTN03A,2021-01-12 11:28:18+00,17.8500,OLMEZEST 40MG TAB
Lefra 20 mg (strip of 10 tablets),Lefra,10.0,20,1,0f96195b59b64b409c0345443bc18dbf,MEHUL AGENCIES,162182,856885,40793,LEFRATN03A,2021-01-12 11:28:18+00,21.8050,119520
Cyclomune 3ml - 0.05% v/v (box of 1 eye drops),Cyclomune,1.0,1,1,1254e725958d4fa4b809f485f9bbf1ba,MEHUL AGENCIES,162182,856885,40832,CYCLOEN07A,2021-01-12 11:28:18+00,418.0000,138215
Levolin 100 ml syrup,Levolin,1,1,1,b3200b4a64634bb79345d4fd42ecc2c0,MEHUL AGENCIES,162182,856885,41645,LEVOLSN01A,2021-01-12 11:28:18+00,20.0200,131179
Flunarin 10 mg (strip of 10 tablets),Flunarin,10,30,1,41b35598c64b4449b6ab41a12a57e0ff,MEHUL AGENCIES,162182,856885,42258,FLUNATN01A,2021-01-12 11:28:18+00,4.8750,112080
Krimson 35 mg (strip of 21 tablets),Krimson,21,63,1,b3ebaf305886466d94ac5776c9757a3b,MEHUL AGENCIES,162182,856885,43345,KRIMSTN01A,2021-01-12 11:28:18+00,17.0476,138107
Solvin Cold 60 ml syrup,Solvin Cold,1,1,1,93d561500cd1426985ba732c647b66bf,MEHUL AGENCIES,162182,856885,43695,SOLVISN01A,2021-01-12 11:28:18+00,58.4500,133191
Starpress H XL 50 mg (strip of 10 tablets),Starpress H XL,10,60,1,ab52af84a8b44d4da1955b321119137a,MEHUL AGENCIES,162182,856885,43817,STARPTN08A,2021-01-12 11:28:18+00,10.6980,105322
Tamdura 0.4 mg (strip of 10 capsules),Tamdura,10,130,1,5b68f1ef9f6b4d7989b2ed4ce28d7cfa,MEHUL AGENCIES,162182,856885,44051,TAMDUCN01A,2021-01-12 11:28:18+00,26.2000,TAMDURA
Concor Cor 2.5 mg (strip of 10 tablets),Concor Cor,10,290,1,0ca8f1d82a71416ea5152ffd94949a41,MEHUL AGENCIES,162182,856885,44516,CONCOTN13A,2021-01-12 11:28:18+00,6.4540,CONCOR COR 2.5MG TAB
Dianorm M (strip of 15 tablets),Dianorm M,15,60,1,be7d422a870840299a5cbede5f63475f,MEHUL AGENCIES,162182,856885,45158,DIANOTN08A,2021-01-12 11:28:18+00,11.6667,DIANORM M TAB
Montair Lc Kid 60 ml syrup,Montair Lc Kid,1,4,1,dd9b02c77ed84c1d8e293e0ddcea2bee,MEHUL AGENCIES,162182,856885,45627,MONTASN01A,2021-01-12 11:28:18+00,105.1000,131183
Shelcal M 500 mg (strip of 15 tablets),Shelcal M,15,150,1,2ae614aeb61647aab0b473d6196bdb90,MEHUL AGENCIES,162182,856885,46190,SHELCTS01A,2021-01-12 11:28:18+00,7.1633,119783
Myospaz Forte (strip of 10 tablets),Myospaz Forte,10.0,10,1,665a6bf0fff0443f8c7626324d7b6570,MEHUL AGENCIES,162182,856885,46235,MYOSPTS03A,2021-01-12 11:28:18+00,25.6000,126115
Cilacar 10 mg (strip of 10 tablets),Cilacar,10,4020,1,23174833c9f34856a3af7e2a1f0afd58,MEHUL AGENCIES,162182,856885,46461,CILACTN01A,2021-01-12 11:28:18+00,9.8900,CILACAR 10MG
Cilacar 20 mg (strip of 10 tablets),Cilacar,10,30,1,aca72a3b5a71474e914d82de8fc05f5f,MEHUL AGENCIES,162182,856885,46465,CILACTN02A,2021-01-12 11:28:18+00,14.9890,101879
Fluticone 50mcg nasal spray,Fluticone,1,1,1,4391fa6f9b4949beb79847539027fe0b,MEHUL AGENCIES,162182,856885,46498,FLUTINB02A,2021-01-12 11:28:18+00,363.0000,106552
Nexpro RD 20 mg (strip of 10 capsules),Nexpro RD,10,40,1,c8b3d19966d1471e95aa57e95d9147ce,MEHUL AGENCIES,162182,856885,46933,NEXPRCN03A,2021-01-12 11:28:18+00,9.8000,NEXPRO RD 20MG TAB
Turbovas 10 mg (strip of 10 tablets),Turbovas,10.0,50,1,a10f1e6dff104020bb1b6a5191548388,MEHUL AGENCIES,162182,856885,46977,TURBOTN05A,2021-01-12 11:28:18+00,11.8000,101834
Euglim 2 mg (strip of 15 tablets),Euglim,15,15,1,bc73d83b0b5347d69ea553605db40491,MEHUL AGENCIES,162182,856885,47007,EUGLITN03A,2021-01-12 11:28:18+00,5.8000,106456
Novelon (strip of 21 tablets),Novelon ,21,63,1,5f61e687beab48e69b8cc93db8768148,MEHUL AGENCIES,162182,856885,47476,NOVELTK01A,2021-01-12 11:28:18+00,10.3810,143286
Teczine 10 mg (strip of 15 tablets),Teczine,15,15,1,aa81c6be18e547628ac11cbe42424f34,MEHUL AGENCIES,162182,856885,47774,TECZITN01A,2021-01-12 11:28:18+00,15.2667,118155
Dolamide (strip of 10 tablets),Dolamide,10,30,1,a14c792eccc24233b2055fbccd689d66,MEHUL AGENCIES,162182,856885,48218,DOLAMTN01A,2021-01-12 11:28:18+00,8.1000,120030
Olmetrack H 20 mg (strip of 10 tablets),Olmetrack H,10,60,1,d7ee711453984376896c62abf730607a,MEHUL AGENCIES,162182,856885,48319,OLMETTN25A,2021-01-12 11:28:18+00,10.9750,104997
Pantocid L 40 mg (strip of 10 capsules),Pantocid L,10,20,1,5bc83a51de794044938fd3164b6765a5,MEHUL AGENCIES,162182,856885,49008,PANTOCN07A,2021-01-12 11:28:18+00,22.2750,138128
Prolomet R 50 mg (strip of 10 tablets),Prolomet R,10,130,1,62d441bf51c64dddb65764760155fbfd,MEHUL AGENCIES,162182,856885,49741,PROLOTN12A,2021-01-12 11:28:18+00,23.7000,138200
Quadriderm RF 10 gm cream,Quadriderm RF,1,1,1,3b964ca4d2b74074aa2125b23941319d,MEHUL AGENCIES,162182,856885,49941,QUADRCN05A,2021-01-12 11:28:18+00,126.0000,143250
Ondem 30 ml syrup,Ondem,1,1,1,73b66e6ccc674970b2cfece171df6444,MEHUL AGENCIES,162182,856885,50268,ONDEMSN01A,2021-01-12 11:28:18+00,37.4700,132161
Riconia Silver Lp (strip of 15 tablets),Riconia Silver Lp,15.0,30,1,dcc4dd7b5b4a4c8487a6631962ca1891,MEHUL AGENCIES,162182,856885,50692,RICONTN03A,2021-01-12 11:28:18+00,5.1267,107150
Senquel Ad 200 ml (box of 1 mouth wash),Senquel Ad,1,2,1,3011a565d7234374b2404bdb0f31f175,MEHUL AGENCIES,162182,856885,51341,SENQURN02A,2021-01-12 11:28:18+00,111.0000,113850
Shelcal CT 500 mg (strip of 15 tablets),Shelcal CT,15,45,1,af60fde47fbf439ab5ca88b2e7a69556,MEHUL AGENCIES,162182,856885,51533,SHELCTN04A,2021-01-12 11:28:18+00,17.2467,119779
Sinarest LP 2.5 mg (strip of 10 tablets),Sinarest LP,10,20,1,ac7a660d02f6443cad45207982903bca,MEHUL AGENCIES,162182,856885,51700,SINARTS05A,2021-01-12 11:28:18+00,10.5120,129132
Sinarest 60 ml syrup,Sinarest,1,1,1,522c6d0c9391423f88cacf9b4dd17ca6,MEHUL AGENCIES,162182,856885,51728,SINARSN02A,2021-01-12 11:28:18+00,88.6800,129135
Sompraz It 40 mg (strip of 10 capsules),Sompraz It,10,30,1,10d16d9c97c94cc39d0151dd8989b536,MEHUL AGENCIES,162182,856885,51966,SOMPRCS01A,2021-01-12 11:28:18+00,22.2000,138259
Sompraz L 40 mg (strip of 10 capsules),Sompraz L,10,20,1,1c575500d5b6444cb2edf8eafc177e48,MEHUL AGENCIES,162182,856885,51974,SOMPRCN04A,2021-01-12 11:28:18+00,23.2000,143187
Sumo (strip of 15 tablets),Sumo ,15,90,1,771d7384478844bab6a28c3503647074,MEHUL AGENCIES,162182,856885,52350,SUMOZTN02A,2021-01-12 11:28:18+00,7.5667,132221
Supermet Am (strip of 10 tablets),Supermet Am,10,30,1,d30fc5add2cd4470a4ce8a02bfdb1cb8,MEHUL AGENCIES,162182,856885,52391,SUPERTN14A,2021-01-12 11:28:18+00,13.8790,111026
Tazloc Am 40 mg (strip of 10 tablets),Tazloc Am,10,90,1,29ebc056afc04983ace94715328b29fb,MEHUL AGENCIES,162182,856885,52709,TAZLOTN04A,2021-01-12 11:28:18+00,11.7000,TAZLOC AM TABS
Telmikind H 40 mg (strip of 10 tablets),Telmikind H,10.0,70,1,7e424defc0f64553b9632ed7c69d8e38,MEHUL AGENCIES,162182,856885,52880,TELMITN43A,2021-01-12 11:28:18+00,6.6550,116217
Lobazam 20 mg (strip of 10 tablets),Lobazam,10.0,20,1,76c208ee94fb4d358fd3f7a024f592f4,MEHUL AGENCIES,162182,856885,53613,LOBAZTN04A,2021-01-12 11:28:18+00,22.0000,138479
Revelol H 50 mg (strip of 10 tablets),Revelol H,10,40,1,dd3627fb5be04e89b623833eb4e06ff4,MEHUL AGENCIES,162182,856885,53895,REVELTN13A,2021-01-12 11:28:18+00,10.2250,133228
Urimax D (strip of 15 tablets),Urimax D,15,15,1,d30d70a922b74aaf9df7cbc2ed03dc18,MEHUL AGENCIES,162182,856885,54112,URIMATS01A,2021-01-12 11:28:18+00,31.8633,131468
Ventidox M (strip of 10 tablets),Ventidox M,10.0,80,1,5947dd6bcd5e4da0a891029b152ee956,MEHUL AGENCIES,162182,856885,54260,VENTITN03A,2021-01-12 11:28:18+00,7.2600,116520
Viscodyne 100 ml syrup,Viscodyne,1,2,1,9a213f0e8c1147319dc44b18398e3231,MEHUL AGENCIES,162182,856885,54356,VISCOSN08A,2021-01-12 11:28:18+00,107.5000,110733
Letoval 2.5 mg (strip of 5 tablets),Letoval,5,10,1,c4049d24582d4916b4bb62f7ba0e97f5,MEHUL AGENCIES,162182,856885,55509,LETOVTN01A,2021-01-12 11:28:18+00,41.1100,143317
Gemcal DS (box of 15 softgel capsules),Gemcal DS,15,15,1,57a2f1d89db7416cb94b8866df09e320,MEHUL AGENCIES,162182,856885,56405,GEMCACN05A,2021-01-12 11:28:18+00,26.8000,132148
Dazit M 5 mg (strip of 10 tablets),Dazit M,10.0,10,1,fbb4767893ae4339a64877855ae4d0c5,MEHUL AGENCIES,162182,856885,57609,DAZITTN02A,2021-01-12 11:28:18+00,18.8000,120486
Atonide 0.05% 20 gm (box of 1 gel),Atonide 0.05%,1,1,1,ee762ef77ba34e149d85df89df7f8cf2,MEHUL AGENCIES,162182,856885,57706,ATONIGN01A,2021-01-12 11:28:18+00,115.0000,127035
D Veniz 50 mg (strip of 10 tablets),D Veniz,10.0,10,1,654d1bc10fb946beba0886e4f7aaed10,MEHUL AGENCIES,162182,856885,57853,DVENITS04A,2021-01-12 11:28:18+00,15.1000,138392
Amlokind H 5 mg (strip of 10 tablets),Amlokind H,10,20,1,a68906531ba94c04ace5639d5bcd6aa4,MEHUL AGENCIES,162182,856885,58606,AMLOKTN13A,2021-01-12 11:28:18+00,3.1860,116105
Amlopres L 5 mg (strip of 15 tablets),Amlopres L,15,30,1,73b2742f46d547549e5b6ec580c611c7,MEHUL AGENCIES,162182,856885,58650,AMLOPTN23A,2021-01-12 11:28:18+00,10.9633,131797
Angizaar H 50 mg (strip of 10 tablets),Angizaar H,10,30,1,e4b5633d5c7f455cabc7f303e18d28ee,MEHUL AGENCIES,162182,856885,58923,ANGIZTN04A,2021-01-12 11:28:18+00,13.0000,101853
Gluconorm PG 2 mg (strip of 15 tablets),Gluconorm PG,15,60,1,e5130f8e029b457ba317b30caa852592,MEHUL AGENCIES,162182,856885,60198,GLUCOTN57A,2021-01-12 11:28:18+00,18.3267,105014
Budamate Transcap 200 mcg (bottle of 30 capsules),Budamate Transcap,30,180,1,3350d0f7640b4c0196eba57a90935b73,MEHUL AGENCIES,162182,856885,60241,BUDAMRN02A,2021-01-12 11:28:18+00,5.6223,105082
Buta Proxyvon 50 mg (strip of 10 capsules),Buta Proxyvon,10,10,1,37aff383337d4478949195b21e50777c,MEHUL AGENCIES,162182,856885,60277,BUTAPCN03A,2021-01-12 11:28:18+00,6.0500,110040
Voveran GE 50 mg (strip of 15 tablets),Voveran GE,15,15,1,544682e3ecb845f991f471b6b90db0c4,MEHUL AGENCIES,162182,856885,60378,VOVERTN02A,2021-01-12 11:28:18+00,6.6333,118154
Gp 2 mg (strip of 10 tablets),Gp,10,10,1,53390c456b4945b285d83ac49edd26e6,MEHUL AGENCIES,162182,856885,60918,GPZZZTN03A,2021-01-12 11:28:18+00,6.3730,GP 2 TABS
Acutret 20 mg (strip of 10 capsules),Acutret,10.0,10,1,17bbdf71c9f74ca7b39dcd5e10e6f66f,MEHUL AGENCIES,162182,856885,61172,ACUTRCN02A,2021-01-12 11:28:18+00,26.2800,133128
Lotepred 5 ml (box of 1 eye drops),Lotepred,1,1,1,44441b84cc824aec8db5aeca117ae739,MEHUL AGENCIES,162182,856885,61955,LOTEPEN01A,2021-01-12 11:28:18+00,164.0000,138219
Coversyl Plus (strip of 10 tablets),Coversyl Plus,10,10,1,f26ab245bf514ba7b526edb704ab935b,MEHUL AGENCIES,162182,856885,61976,COVERTN08A,2021-01-12 11:28:18+00,17.5000,137107
Diamicron Xr Mex 500 mg (strip of 14 tablets),Diamicron Xr Mex,14.0,42,1,37bbd5e763bb4c8bac744a98f1ab9dcf,MEHUL AGENCIES,162182,856885,62488,DIAMITN05A,2021-01-12 11:28:18+00,15.5000,137113
Diclogesic 50 mg (strip of 10 tablets),Diclogesic ,10,40,1,3ca10b8101604ff685d6e4f5c7ceadb9,MEHUL AGENCIES,162182,856885,62527,DICLOTS02A,2021-01-12 11:28:18+00,4.5800,119225
Elocon 10 gm (box of 1 ointment),Elocon,1,1,1,37261a7d4f234f48832b248c14bb77be,MEHUL AGENCIES,162182,856885,62919,ELOCOON02A,2021-01-12 11:28:18+00,230.0000,101989
Emanzen D (strip of 10 tablets),Emanzen D,10.0,10,1,9e692a7dbdc74bd0970ae3b7885a1a21,MEHUL AGENCIES,162182,856885,62958,EMANZTN05A,2021-01-12 11:28:18+00,17.4600,101127
HHFudic 10 gm cream,HHFudic,1,1,1,45b0372d6ba847a5acf9c1c37c24808a,MEHUL AGENCIES,162182,856885,63195,HHFUDCN01A,2021-01-12 11:28:18+00,279.0000,144113
Duolin 2.5 ml (box of 5 respules),Duolin,5,35,1,7080f49f593144a2afb9847aa463adfe,MEHUL AGENCIES,162182,856885,63280,DUOLIRK01A,2021-01-12 11:28:18+00,12.8000,131038
Enzoflam (strip of 10 tablets),Enzoflam,10,10,1,fe5b94425e2940ef86e6ead01a5a6297,MEHUL AGENCIES,162182,856885,63717,ENZOFTS01A,2021-01-12 11:28:18+00,13.2000,132143
Propysalic NF 30 gm (tube of 1 ointment),Propysalic NF,1,5,1,1d3bab09673640869377ac86c42d2a75,MEHUL AGENCIES,162182,856885,63759,PROPYON09A,2021-01-12 11:28:18+00,235.0000,PROPYSALIC NF OINT
Femilon (strip of 21 tablets),Femilon ,21,21,1,992c1e9018244330a9f1515358bc43e6,MEHUL AGENCIES,162182,856885,64258,FEMILTK01A,2021-01-12 11:28:18+00,11.9048,143283
Telma 20 mg (strip of 15 tablets),Telma,15,240,1,84a0b709e9d343b194c044ba8fe7c026,MEHUL AGENCIES,162182,856885,64526,TELMATS29A,2021-01-12 11:28:18+00,4.0673,4th Nov 7
Flexura D (strip of 10 tablets),Flexura D,10.0,10,1,245d1378ab37465fb6ece8e1abf38853,MEHUL AGENCIES,162182,856885,64585,FLEXUTN03A,2021-01-12 11:28:18+00,17.4000,138358
