drug_variation_id,medlife_product_id,fc_id,distributor_id,distributor_name,bill_number,bill_date,transcription_completed_ts,packing_quantity,mrp,formatted_name,drug_name,purchase_margin_percent,purchase_price,loose_quantity,purchase_mrp_value
177106,TELMATS41A,7,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181407,2021-01-12,2021-01-12,30,14.3000,Telma Am 40 MG (strip of 30 tablets),Telma Am,23.9996,10.21433,870,12441.0000
75270,TRIVOTS02A,1,856885,MEHUL AGENCIES, D31163,2021-01-15,2021-01-15,10.0,19.9000,Trivolib 2 mg (strip of 10 tablets),Trivolib,24.0015,14.21400,600,11940.0000
65887,ISTAMTN03A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194866,2021-01-15,2021-01-15,15,25.3000,Istamet 50/500mg (strip of 15 tablets),Istamet,24.0004,18.07133,450,11385.0000
47348,GLYCOTN15A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194746,2021-01-15,2021-01-15,15,10.3667,Glycomet GP 2 mg (strip of 15 tablets),Glycomet GP,24.0010,7.40467,1020,10574.0340
187047,AMARYTS22A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181297,2021-01-12,2021-01-13,20,16.5160,Amaryl M 2 MG / 500 MG (strip of 20 tablets),Amaryl M,24.0009,11.79700,640,10570.2400
187047,AMARYTS22A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181405,2021-01-12,2021-01-13,20,16.5160,Amaryl M 2 MG / 500 MG (strip of 20 tablets),Amaryl M,24.0009,11.79700,640,10570.2400
187047,AMARYTS22A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181263,2021-01-12,2021-01-13,20,16.5160,Amaryl M 2 MG / 500 MG (strip of 20 tablets),Amaryl M,24.0009,11.79700,640,10570.2400
177508,RYZODIP01A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181262,2021-01-12,2021-01-12,5,1024.0000,Ryzodeg 100 IU/ 3 ML injection (pack of 5),Ryzodeg,17.6800,819.20000,10,10240.0000
164540,JALRATN03A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217466,2021-01-15,2021-01-15,28,21.4286,Jalra 50 mg (box of 28 tablets),Jalra,23.2003,15.30607,448,9600.0128
116907,VYMADTS01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194806,2021-01-15,2021-01-15,14,78.6071,Vymada 50 mg (strip of 14 tablets),Vymada,24.0001,56.14786,112,8803.9952
162332,XARELTS13A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194814,2021-01-15,2021-01-15,28,145.0000,Xarelto 15 mg (strip of 28 tablets),Xarelto,24.0000,103.57143,56,8120.0000
91921,JARDITS01A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193553,2021-01-15,2021-01-15,10,62.2000,Jardiance 25 mg (strip of 10 tablets),Jardiance,17.6800,46.65000,130,8086.0000
13021,DUPHATN01A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193553,2021-01-15,2021-01-15,10.0,67.2510,Duphaston 10 mg (strip of 10 tablets),Duphaston,24.0007,48.03600,120,8070.1200
175221,TENEPTS20A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181405,2021-01-12,2021-01-13,30,10.5000,Tenepride 20 MG (strip of 30 tablets),Tenepride,24.0000,7.50000,750,7875.0000
175221,TENEPTS20A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181297,2021-01-12,2021-01-13,30,10.5000,Tenepride 20 MG (strip of 30 tablets),Tenepride,24.0000,7.50000,750,7875.0000
175221,TENEPTS20A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181263,2021-01-12,2021-01-13,30,10.5000,Tenepride 20 MG (strip of 30 tablets),Tenepride,24.0000,7.50000,750,7875.0000
45032,GLYCOTS04A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194746,2021-01-15,2021-01-15,10,18.6500,Glycomet Trio 2 mg (strip of 10 tablets),Glycomet Trio,23.9967,13.32200,410,7646.5000
22122,CRESPPN02A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193555,2021-01-15,2021-01-15,1,2499.0000,Cresp Pfs 40 mcg powdered for injection,Cresp Pfs,37.7098,1463.00000,3,7497.0000
65321,LANTUCN01A,7,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217264,2021-01-15,2021-01-15,1,722.5400,Lantus 100 iu (1 cartridge),Lantus,19.3600,578.03200,10,7225.4000
65321,LANTUCN01A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217265,2021-01-15,2021-01-15,1,722.5400,Lantus 100 iu (1 cartridge),Lantus,19.3600,578.03200,10,7225.4000
82748,GLYCOTN13A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194866,2021-01-15,2021-01-15,15,7.0667,Glycomet GP 1 mg (strip of 15 tablets),Glycomet GP,24.0043,5.04733,1020,7208.0340
148306,ATORVTS11A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215393,2021-01-12,2021-01-12,15,6.1260,Atorva 10 mg (strip of 15 tablets),Atorva,23.1950,4.37600,1170,7167.4200
96703,TELMATN17A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194806,2021-01-15,2021-01-15,30,14.7333,Telma H 40 mg (strip of 30 tablets),Telma H,24.0010,10.52367,480,7071.9840
147206,NOVOMCN01A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193561,2021-01-15,2021-01-15,5,704.0000,Novomix 30 3ml (box of 5 pen fills),Novomix 30,17.6800,563.20000,10,7040.0000
65905,JANUMTN03A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194866,2021-01-15,2021-01-15,15,25.3333,Janumet 50/500mg (strip of 15 tablets),Janumet,23.9996,18.09533,270,6839.9910
13021,DUPHATN01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194751,2021-01-15,2021-01-15,10.0,67.2510,Duphaston 10 mg (strip of 10 tablets),Duphaston,24.0007,48.03600,100,6725.1000
116907,VYMADTS01A,7,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181407,2021-01-12,2021-01-12,14,78.6071,Vymada 50 mg (strip of 14 tablets),Vymada,24.0001,56.14786,84,6602.9964
147706,GALVUTS08A,1,856885,MEHUL AGENCIES, D31156,2021-01-15,2021-01-15,15,19.9333,Galvus 50mg (strip of 15 tablets),Galvus,24.0005,14.23800,315,6278.9895
70289,RANOZTN01A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215376,2021-01-12,2021-01-12,10,14.0000,Ranozex 500 mg (strip of 10 tablets),Ranozex,23.2000,10.00000,440,6160.0000
184929,REMOZTS03A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194806,2021-01-15,2021-01-15,15,13.1000,Remo Zen (strip of 15 tablets),Remo Zen,23.9985,9.35733,465,6091.5000
184929,REMOZTS03A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181376,2021-01-12,2021-01-13,15,13.1000,Remo Zen (strip of 15 tablets),Remo Zen,23.9985,9.35733,465,6091.5000
151177,BASAGIV01A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181262,2021-01-12,2021-01-12,1,605.0000,Basaglar Catridge 100IU injection,Basaglar Catridge,17.6800,484.00000,10,6050.0000
148843,ATORVTS13A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217466,2021-01-15,2021-01-15,15,14.8340,Atorva 20mg (strip of 15 tablets),Atorva,23.1979,10.59600,405,6007.7700
177106,TELMATS41A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181558,2021-01-12,2021-01-12,30,14.3000,Telma Am 40 MG (strip of 30 tablets),Telma Am,23.9996,10.21433,420,6006.0000
75270,TRIVOTS02A,6,856885,MEHUL AGENCIES, D31154,2021-01-15,2021-01-15,10.0,19.9000,Trivolib 2 mg (strip of 10 tablets),Trivolib,24.0015,14.21400,300,5970.0000
104931,AZMARTS01A,1,856885,MEHUL AGENCIES, D30750,2021-01-12,2021-01-12,14,83.5036,Azmarda 100 mg (strip of 14 tablets),Azmarda,23.9987,59.64643,70,5845.2520
184281,TRIPLTS05A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194866,2021-01-15,2021-01-15,15,6.9333,Tripleacal (strip of 15 tablets),Tripleacal,23.9956,4.95267,810,5615.9730
65905,JANUMTN03A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215386,2021-01-12,2021-01-12,15,25.3333,Janumet 50/500mg (strip of 15 tablets),Janumet,23.1996,18.09533,210,5319.9930
65887,ISTAMTN03A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215374,2021-01-12,2021-01-12,15,25.3000,Istamet 50/500mg (strip of 15 tablets),Istamet,23.2004,18.07133,210,5313.0000
67199,HUMINCN01A,7,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193543,2021-01-15,2021-01-15,1,354.0000,Huminsulin 30/70 - 100 iu (cartridge of 1 cartridge),Huminsulin,17.6800,283.20000,15,5310.0000
67199,HUMINCN01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193544,2021-01-15,2021-01-15,1,354.0000,Huminsulin 30/70 - 100 iu (cartridge of 1 cartridge),Huminsulin,17.6800,283.20000,15,5310.0000
3301,GLUCOTN05A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215340,2021-01-12,2021-01-12,10,14.6000,Glucobay 50 mg (strip of 10 tablets),Glucobay,23.1968,10.42900,360,5256.0000
47348,GLYCOTN15A,6,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215391,2021-01-12,2021-01-12,15,10.3667,Glycomet GP 2 mg (strip of 15 tablets),Glycomet GP,23.2010,7.40467,495,5131.5165
177508,RYZODIP01A,6,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217263,2021-01-15,2021-01-15,5,1024.0000,Ryzodeg 100 IU/ 3 ML injection (pack of 5),Ryzodeg,16.0000,819.20000,5,5120.0000
147139,GALVUTS06A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194806,2021-01-15,2021-01-15,15,21.2000,Galvus Met 50 mg /1000 mg (strip of 15 tablets),Galvus Met,24.0010,15.14267,240,5088.0000
60391,ECOSPTN15A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194746,2021-01-15,2021-01-15,15,8.8727,Ecosprin Gold 20 mg (strip of 15 capsules),Ecosprin Gold,17.6779,6.65467,570,5057.4390
88184,MIXTAIN01A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215324,2021-01-12,2021-01-12,1,157.5700,Human Mixtard 30 70 - 40 IU injection,Human Mixtard,19.3574,126.06000,32,5042.2400
185841,,7,125101,M Ratan Agencies, S 6664,2021-01-13,2021-01-13,100,12.5000,Medi Care Latex Gloves Large (pack of 100),Medi Care Latex Gloves Large,46.2400,6.00000,400,5000.0000
91375,PANZZTN02A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215334,2021-01-12,2021-01-12,15,9.2000,Pan 40 mg (strip of 15 tablets),Pan,23.2011,6.57133,540,4968.0000
84339,TELMATN08A,7,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217309,2021-01-15,2021-01-15,15,15.6333,Telma Am 40 mg (strip of 15 tablets),Telma Am,23.2000,11.16667,315,4924.4895
89791,INVOKTN01A,7,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181393,2021-01-12,2021-01-12,10,54.5000,Invokana 100 mg (strip of 10 tablets),Invokana,17.6813,40.87433,90,4905.0000
82748,GLYCOTN13A,6,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215391,2021-01-12,2021-01-12,15,7.0667,Glycomet GP 1 mg (strip of 15 tablets),Glycomet GP,23.2043,5.04733,690,4876.0230
77450,SHELCTN02A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194866,2021-01-15,2021-01-15,15,6.5933,Shelcal 500 mg (strip of 15 tablets),Shelcal,24.0031,4.70933,735,4846.0755
69741,MIXTACN01A,7,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181319,2021-01-12,2021-01-12,1,319.0000,Human Mixtard HM 30 70 - 3ml (1 cartridge),Human Mixtard HM,17.6800,255.20000,15,4785.0000
69741,MIXTACN01A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181262,2021-01-12,2021-01-12,1,319.0000,Human Mixtard HM 30 70 - 3ml (1 cartridge),Human Mixtard HM,17.6800,255.20000,15,4785.0000
43992,LOSARTN15A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194746,2021-01-15,2021-01-15,15,12.7500,Losar H 50 mg (strip of 15 tablets),Losar H,23.9984,9.10733,375,4781.2500
93861,QILIBLB01A,7,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217309,2021-01-15,2021-01-15,1,1565.0000,Qilib Rebalance Hair Fall Cycle Women 80 ml (box of 1 lotion),Qilib Rebalance Hair Fall Cycle Women,23.1998,1061.02000,3,4695.0000
131130,MELBISB03A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194762,2021-01-15,2021-01-15,1,1427.0000,Melbid XL 10 ml solution,Melbid XL,23.9997,1114.29000,3,4680.0000
148843,ATORVTS13A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215393,2021-01-12,2021-01-12,15,14.8340,Atorva 20mg (strip of 15 tablets),Atorva,23.1979,10.59600,315,4672.7100
187047,AMARYTS22A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181421,2021-01-12,2021-01-12,20,16.5160,Amaryl M 2 MG / 500 MG (strip of 20 tablets),Amaryl M,24.0009,11.79700,280,4624.4800
15098,DIAMITN03A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215361,2021-01-12,2021-01-12,14.0,13.5000,Diamicron Xr 60 mg (strip of 14 tablets),Diamicron Xr,23.2000,9.64286,336,4536.0000
92348,REDENLB01A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193557,2021-01-15,2021-01-15,1,1467.0000,Redenser Serum 60 ml scalp solution,Redenser Serum,23.9997,994.58000,3,4401.0000
46767,ICANPDD01A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215345,2021-01-12,2021-01-12,1,55.0000,I Can pregnancy test,I Can pregnancy test,74.3972,39.29000,78,4290.0000
78675,TUFPRSB01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181376,2021-01-12,2021-01-13,1,38.7500,Tufpro 5 ml (box of 1 suspension),Tufpro,31.2940,27.67000,110,4262.5000
16654,GEMERTN02A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215378,2021-01-12,2021-01-12,10,12.1000,Gemer 2 mg (strip of 10 tablets),Gemer,23.1987,8.64300,350,4235.0000
164540,JALRATN03A,6,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217444,2021-01-15,2021-01-15,28,21.4286,Jalra 50 mg (box of 28 tablets),Jalra,23.2003,15.30607,196,4200.0056
164540,JALRATN03A,7,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215273,2021-01-12,2021-01-12,28,21.4286,Jalra 50 mg (box of 28 tablets),Jalra,23.2003,15.30607,196,4200.0056
164540,JALRATN03A,7,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217354,2021-01-15,2021-01-15,28,21.4286,Jalra 50 mg (box of 28 tablets),Jalra,23.2003,15.30607,196,4200.0056
62138,BETADSN16A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181384,2021-01-12,2021-01-13,1,210.0000,Betadine Gargle Mint 100 ml solution,Betadine Gargle Mint,24.0000,150.00000,20,4200.0000
9148,ROSUVTN04A,1,856885,MEHUL AGENCIES, D30745,2021-01-12,2021-01-12,10,52.0000,Rosuvas 40 mg (strip of 10 tablets),Rosuvas,23.9997,37.14300,80,4160.0000
45689,MONTETN13A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215374,2021-01-12,2021-01-12,10,17.9500,Montek LC (strip of 10 tablets),Montek LC,23.2026,12.82100,230,4128.5000
63779,DRISECN02A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194746,2021-01-15,2021-01-15,4,32.9725,D Rise 60k (strip of 4 capsules),D Rise,23.9977,23.55250,124,4088.5900
92011,XARELTS05A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215340,2021-01-12,2021-01-12,14,145.0000,Xarelto 20 mg (strip of 14 tablets),Xarelto,23.2000,103.57143,28,4060.0000
92011,XARELTS05A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194816,2021-01-15,2021-01-15,14,145.0000,Xarelto 20 mg (strip of 14 tablets),Xarelto,24.0000,103.57143,28,4060.0000
91375,PANZZTN02A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194806,2021-01-15,2021-01-15,15,9.2000,Pan 40 mg (strip of 15 tablets),Pan,24.0011,6.57133,435,4002.0000
127574,PDKARGP01A,6,3072267,PADMAVATI ENTERPRISES,370,2021-01-12,2021-01-12,100,10.0000,Examination Gloves Medium (pack of 100),Examination Gloves Medium,45.1200,4.90000,400,4000.0000
165583,TENIVTS08A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181376,2021-01-12,2021-01-13,20,12.4000,Teniva 20mg (strip of 20 tablets),Teniva,24.0012,8.85700,320,3968.0000
16482,EVIONCN05A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194746,2021-01-15,2021-01-15,10,2.9730,Evion (Vitamin E) 400 mg (strip of 10 capsules),Evion (Vitamin E),24.0026,2.12350,1320,3924.3600
46842,KERAXSN01A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217451,2021-01-15,2021-01-15,1,1290.0000,Kera Xl Hair Growth Serum 60ml,Kera Xl Hair Growth Serum,23.1997,874.58000,3,3870.0000
165169,METFFTS03A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181376,2021-01-12,2021-01-13,15,11.0000,Metffil Vg 2MG (strip of 15 tablets),Metffil Vg,30.6070,7.85733,345,3795.0000
92210,STAYFPP30A,1,325554,Bhagerathi Enterprises,JJGST2007101,2021-01-12,2021-01-13,20,5.7500,Stayfree Secure Cottony Soft XL with wings (pack of 20),Stayfree Secure Cottony Soft,16.0703,5.13400,660,3795.0000
65887,ISTAMTN03A,6,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193553,2021-01-15,2021-01-15,15,25.3000,Istamet 50/500mg (strip of 15 tablets),Istamet,24.0004,18.07133,150,3795.0000
33479,FARONTS03A,1,856885,MEHUL AGENCIES, D31173,2021-01-15,2021-01-15,10,94.2000,Faronam 200 mg (strip of 10 tablets),Faronam,23.9997,67.28600,40,3768.0000
33479,FARONTS03A,1,856885,MEHUL AGENCIES, D30744,2021-01-12,2021-01-12,10,94.2000,Faronam 200 mg (strip of 10 tablets),Faronam,23.9997,67.28600,40,3768.0000
185841,,6,125101,M Ratan Agencies, S 6665,2021-01-13,2021-01-13,100,12.5000,Medi Care Latex Gloves Large (pack of 100),Medi Care Latex Gloves Large,46.2400,6.00000,300,3750.0000
37714,OLMEZTN03A,7,856885,MEHUL AGENCIES, D30726,2021-01-12,2021-01-12,10,17.8500,Olmezest 40 mg (strip of 10 tablets),Olmezest,24.0000,12.75000,210,3748.5000
91921,JARDITS01A,7,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194676,2021-01-15,2021-01-15,10,62.2000,Jardiance 25 mg (strip of 10 tablets),Jardiance,17.6800,46.65000,60,3732.0000
63343,HUMALIP03A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215324,2021-01-12,2021-01-12,1,745.0000,Humalog Mix 50 (cartridge of 1 cartridge),Humalog Mix,19.3600,596.00000,5,3725.0000
63334,HUMALIP02A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193544,2021-01-15,2021-01-15,1,745.0000,Humalog Mix 25 (cartridge of 1 cartridge),Humalog Mix,17.6800,596.00000,5,3725.0000
63334,HUMALIP02A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215324,2021-01-12,2021-01-12,1,745.0000,Humalog Mix 25 (cartridge of 1 cartridge),Humalog Mix,19.3600,596.00000,5,3725.0000
8781,ROSUVTN01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194751,2021-01-15,2021-01-15,15,16.3500,Rosuvas 10 mg (strip of 15 tablets),Rosuvas,24.0037,11.67800,225,3678.7500
94538,NOVOMLB01A,7,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217264,2021-01-15,2021-01-15,1,730.0000,Novomix 50 3 ml (1 pen fill),Novomix 50,19.3600,584.00000,5,3650.0000
104014,NEBICTN03A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194806,2021-01-15,2021-01-15,10,14.6000,Nebicard 5 (strip of 10 tablets),Nebicard 5,23.9969,10.42900,250,3650.0000
94538,NOVOMLB01A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217265,2021-01-15,2021-01-15,1,730.0000,Novomix 50 3 ml (1 pen fill),Novomix 50,19.3600,584.00000,5,3650.0000
88349,MIXTAFN01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181263,2021-01-12,2021-01-13,1,518.0000,Human Mixtard 30 Flex Pen 100iu injection,Human Mixtard 30 Flex Pen,17.6800,414.40000,7,3626.0000
2261,NIKORTN02A,1,856885,MEHUL AGENCIES, D31167,2021-01-15,2021-01-15,20,16.6075,Nikoran 5 mg (bottle of 20 tablets),Nikoran,23.9985,10.78950,240,3625.2000
96009,ELIQUTS01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194813,2021-01-15,2021-01-15,10,72.5000,Eliquis 2.5 mg (strip of 10 tablets),Eliquis,24.0010,51.78500,50,3625.0000
96009,ELIQUTS01A,6,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215409,2021-01-12,2021-01-12,10,72.5000,Eliquis 2.5 mg (strip of 10 tablets),Eliquis,23.2011,51.78500,50,3625.0000
65321,LANTUCN01A,7,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181319,2021-01-12,2021-01-12,1,722.5400,Lantus 100 iu (1 cartridge),Lantus,17.6800,578.03200,5,3612.7000
65321,LANTUCN01A,6,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-217263,2021-01-15,2021-01-15,1,722.5400,Lantus 100 iu (1 cartridge),Lantus,19.3600,578.03200,5,3612.7000
65321,LANTUCN01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181276,2021-01-12,2021-01-13,1,722.5400,Lantus 100 iu (1 cartridge),Lantus,17.6800,578.03200,5,3612.7000
75065,TRAJETN01A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215340,2021-01-12,2021-01-12,10,51.5000,Trajenta 5 mg (strip of 10 tablets),Trajenta,19.3600,38.62500,70,3605.0000
164367,BIOLILT01A,7,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001193552,2021-01-15,2021-01-15,1,30.0000,Bioline Lipcare 10 gm (tube of 1 lip balm),Bioline Lipcare,32.5433,17.50000,120,3600.0000
147074,GALVUTS07A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181376,2021-01-12,2021-01-13,15,20.0000,Galvus Met 50 / 500 mg (strip of 15 tablets),Galvus Met,23.9985,14.28600,180,3600.0000
45689,MONTETN13A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194746,2021-01-15,2021-01-15,10,17.9500,Montek LC (strip of 10 tablets),Montek LC,24.0025,12.82100,200,3590.0000
74342,PRADATN02A,6,856885,MEHUL AGENCIES, D31146,2021-01-15,2021-01-15,10,71.8000,Pradaxa 150 mg (strip of 10 capsules),Pradaxa,20.1718,53.86900,50,3590.0000
88096,OLMYHTN02A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001194866,2021-01-15,2021-01-15,10,32.3700,Olmy H 40 mg (strip of 10 tablets),Olmy H,24.0014,23.12100,110,3560.7000
77450,SHELCTN02A,1,2948,VARDHAMAN PHARMA Distributors Private Limited,VH-20-215363,2021-01-12,2021-01-12,15,6.5933,Shelcal 500 mg (strip of 15 tablets),Shelcal,23.2031,4.70933,540,3560.3820
69639,NOVORIP01A,1,1647953,MAHAVEER MEDI-SALES PVT. LTD.,i2000073001181276,2021-01-12,2021-01-13,1,704.0000,Novorapid 100IU/ml - 3ml (1 pen fill),Novorapid,17.6800,563.20000,5,3520.0000
